Turkish,English meaning(s)
Abi,Older brother
Abla,Older sister
Acaba,I wonder
Acı,"Pain, bitter, spicy"
Açık,Open
Acıkmak,To be hungry
Acil,Emergency
Açmak,To open
Ad,Name
Adam,Man
Adet,"Piece, unit"
Adım,Step
Adres,Address
Ağaç,Tree
Ağır,Heavy
Ağız,Mouth
Ağlamak,To cry
Aile,Family
Akıl,Mind
Akıllı,"Smart, clever"
Akmak,To flow
Akşam,Evening
Alan,Area
Alışmak,To adjust
Alışveriş yapmak,To go shopping
Allah,God
Almak,To take
Altı,Six
Altın,Gold
Altmış,Sixty
Ama,But
Amaç,Purpose
Amca,Uncle (father's brother)
An,Moment
Anlam,Meaning
Anlamak,To understand
Anlaşılmak,To be understood
Anlatmak,To explain
Anne,Mother
Apartman,Apartment building
Araba,Car
Araç,"Tool, vehicle"
Aralık,December
Aramak,"To search for, to call (on the phone)"
Araştırmak,To research
Arı,Bee
Arkadaş,Friend
Armut,Pear
Artık,Anymore (these days)
Artmak,To increase
Asıl,Actual
Aşırı,Extreme
Aşk,Romantic love
Asker,Soldier
Asla,Never
Aslında,Actually
At,Horse
Ateş,Fire
Atlamak,To jump
Atmak,To throw
Ay,"Moon, month"
Ayak,Foot
Ayakkabı,Shoe
Ayı,Bear
Ayırmak,To separate
Ayna,Mirror
Aynı,Similar
Ayrı,Separate
Ayrılmak,To be separated
Az,Little
Baba,Dad
Bacak,Leg
Bağırmak,To shout
Bağlamak,"To tie, to connect"
Bahçe,Garden
Bakan,Minister (government)
Bakış,View
Bakmak,To look
Balık,Fish
Banka,Bank
Bant,"Tape, band, strip"
Banyo,Bathroom (with a shower or bath)
Bardak,Glass (cup)
Barış,Peace (not at war)
Baş,Head
Başarı,Success
Basit,"Basic, simple"
Başka,Other
Başkan,"President, chairman"
Baskı,Pressure
Başlamak,To start
Basmak,"To step, to press"
Batı,West
Batmak,To sink
Battaniye,Blanket
Bayrak,Flag
Bayram,Holiday
Bazen,Sometimes
Bazı,Some
Bebek,Baby
Bedava,Free
Beden,Body (or clothing size)
Beğenmek,To like
Bekâr,Single (not married)
Beklemek,To wait
Bel,"Waist, lower back"
Belediye,Municipality
Belge,Document
Belki,Maybe
Belli,"Clear, obvious"
Benzemek,To look like
Benzin,Gasoline
Beraber,Together
Beş,Five
Bey,Mr.
Beyaz,White
Beyin,Brain
Bez,Cloth (or diaper)
Bıçak,Knife
Biçim,Shape
Bilet,Ticket
Bilgi,Information
Bilgisayar,Computer
Bilim,Science
Bilmek,To know
Bin,Thousand
Bina,Building
Binmek,"To ride, to get on (a bus)"
Bir,One
Bırakmak,To leave something
Biraz,A little
Birçok,A lot
Biri,"Someone, one of them"
Birinci,First
Birisi,Someone
Birkaç,A few
Birlikte,Together
Bitirmek,To finish (something)
Bitki,Plant
Bitmek,To be finished
Böcek,Bug
Boğaz,Throat
Bölge,Region
Bölmek,To divide
Bölüm,"Division, chapter"
Boru,Pipe
Boş,Empty
Boşaltmak,To empty (something)
Boşanmak,To get divorced
