Turkish,English meaning(s)
Abi,Older brother
Abla,Older sister
Acı,"Pain, bitter, spicy"
Acıkmak,To be hungry
Acil,Emergency
Açmak,To open
Ad,Name
Adam,Man
Adım,Step
Adres,Address
Ağaç,Tree
Ağır,Heavy
Ağız,Mouth
Ağlamak,To cry
Aile,Family
Akıl,Mind
Akıllı,"Smart, clever"
Akşam,Evening
Alan,Area
Alışmak,To adjust
Alışveriş yapmak,To go shopping
Almak,To take
Altı,Six
Altın,Gold
Altmış,Sixty
Ama,But
Amaç,Purpose
Amca,Uncle (father's brother)
An,Moment
Anlam,Meaning
Anlaşılmak,To be understood
Anlatmak,To explain
Anne,Mother
Apartman,Apartment building
Araba,Car
Araç,"Tool, vehicle"
Aralık,December
Araştırmak,To research
Arı,Bee
Arkadaş,Friend
Armut,Pear
Artık,Anymore (these days)
Asıl,Actual
Aşk,Romantic love
Asker,Soldier
Asla,Never
Aslında,Actually
At,Horse
Ateş,Fire
Atlamak,To jump
Atmak,To throw
Ay,"Moon, month"
Ayak,Foot
Ayakkabı,Shoe
Ayı,Bear
Ayırmak,To separate
Ayna,Mirror
Aynı,Similar
Ayrı,Separate
Ayrılmak,To be separated
Az,Little
Baba,Dad
Bacak,Leg
Bağırmak,To shout
Bağlamak,"To tie, to connect"
Bahçe,Garden
Bakan,Minister (government)
Bakış,View
Bakmak,To look
Balık,Fish
Banka,Bank
Bant,"Tape, band, strip"
Banyo,Bathroom (with a shower or bath)
Bardak,Glass (cup)
Barış,Peace (not at war)
Baş,Head
Başarı,Success
Basit,"Basic, simple"
Başka,Other
Basmak,"To step, to press"
Batı,West
Bayrak,Flag
Bayram,Holiday
Bazı,Some
Bebek,Baby
Beğenmek,To like
Bekâr,Single (not married)
Bel,"Waist, lower back"
Belediye,Municipality
Belge,Document
Belki,Maybe
Benzemek,To look like
Benzin,Gasoline
Beraber,Together
Beş,Five
Bey,Mr.
Beyaz,White
Beyin,Brain
Bez,Cloth (or diaper)
Bıçak,Knife
Biçim,Shape
Bilet,Ticket
Bilgi,Information
Bilgisayar,Computer
Bilim,Science
Bilmek,To know
Bin,Thousand
Bina,Building
Bırakmak,To leave something
Birçok,A lot
Biri,"Someone, one of them"
Birinci,First
Birisi,Someone
Birkaç,A few
Birlikte,Together
Bitirmek,To finish (something)
Bitki,Plant
Bitmek,To be finished
Boğaz,Throat
Bölge,Region
Bölmek,To divide
Boru,Pipe
Boş,Empty
Boşanmak,To get divorced
